image_path,description,comedone,nodules,papules,pustules
images/levle0_516_jpg.rf.eb738842693f237efbe1ea22d95f3c70.jpg,"{'caption': 'A young woman with dark hair and fair skin is shown in profile, her gaze directed downwards and slightly to the left. Her eyes are closed, and her cheeks are flushed a. Small red spot is visible on her forehead. She appears to be wearing a light-colored shirt or top. A portion of a patterned object is visible behind her ear. The background is a simple, light brown wall.'}",1,0,3,0
images/levle0_482_jpg.rf.b85290eb5bd390c823733ea93ce160b6.jpg,"{'caption': ""A close-up profile view of a person's face, capturing a thoughtful or contemplative expression. The individual's face is the main focus of the image, bathed in soft, natural light that highlights their features. Their eyes are open and appear to be looking to the left, with fair skin and dark hair. The person has a nose ring. The background is intentionally blurred, drawing the viewer's attention solely to the person and their facial expression. A portion of a striped shirt is visible at the bottom of the image.""}",4,0,0,0
images/levle0_430_png_jpg.rf.bb2949ee214cd8652a3618a98fcae8cd.jpg,"{'caption': ""A close-up portrait of a person, facing the camera, with their face filling the frame. The person's gaze is directed towards the left side of the image. Their facial features, including their eyebrows, are clearly visible. The person has dark hair that is partially obscured by the angle of the shot. The background is a blurred, light beige or tan color. The image captures a person's face in sharp detail. The person's skin has a slightly reddish tone and some freckles or spots.""}",1,0,0,1
images/levle1_506_jpg.rf.201428f64e48fd11a530a623bb9df584.jpg,"{'caption': ""A close-up profile view of a person's face, capturing a moment of contemplation or concern. The individual's face is the main focus, occupying most of the frame. They are looking to the left, with slightly downward and angled eyes. The person's skin has a slightly reddish tone, and some blemishes or redness are visible on their face, particularly around their eyes. The person's mouth is slightly open, and they appear to be wearing a light-colored collarbone. The background is blurred and indistinct, drawing the viewer's attention to the person's face. In the blurred background on the left, a dark object is visible, but its nature is unclear.""}",4,0,2,0
images/levle0_272_png_jpg.rf.08d57a629661212121f1e1761f213294.jpg,"{'caption': 'A young woman with dark hair pulled back in a loose style stands as the central figure in the image. Her face is turned to the left, offering a profile view. Her eyes appear slightly closed or squinted, and her lips are slightly parted. Her skin appears to have some minor blemishes or redness. A white headband adorns her hair. The background is blurred, drawing focus to the woman. and her skin has a slightly shiny or moist appearance.'}",2,1,2,0
images/levle1_59_jpg.rf.779a7add2b509e6c4b014e4710f83610.jpg,"{'caption': ""A close-up profile view of a person's face, capturing a thoughtful or contemplative expression. The individual's dark hair frames their face, and their gaze is directed towards the right side of the image. The person's skin has a slightly uneven texture and a few small blemishes or redness are visible. In the background, a red and white striped object, possibly a lamp or piece of furniture, is slightly out of focus.""}",1,0,1,0
images/levle1_32_jpg.rf.6f6c5d8ff8d7693ad8421354f76cfe83.jpg,"{'caption': ""A close-up portrait of a person, with a neutral expression, their face turned to the side. They are looking off to the side, with dark hair and brown eyes. The person's face is slightly flushed, and their nose is relatively thin. The image has a slightly blurry quality. The background is a blurred, neutral color.""}",4,0,2,0
images/levle0_162_png_jpg.rf.2e929dc65067acfec29dda5f6e555b28.jpg,"{'caption': ""A close-up profile view of a person's face, capturing a moment of thought or contemplation. The individual's face is the main focus, meticulously detailed with some makeup and skin textures. The person's eyes are open, looking off to the side. Their mouth is slightly ajar. The background is blurred, drawing the viewer's attention to the person.  A portion of what appears to be a metal object is visible near the person's mouth. A hint of dark hair can be seen on the left side of the person's face.""}",0,0,1,0
images/levle1_538_jpg.rf.bed033657fb28e658fd49a8d72fb7b69.jpg,"{'caption': ""A close-up image of a person's face, captured in profile and facing left. The individual's gaze is directed downwards and to the left. Their skin displays a slightly uneven texture and a number of visible blemishes and redness, particularly on their cheeks and forehead. The person has dark hair, some of which is pulled back. Their skin appears slightly flushed or moist.""}",1,0,2,0
images/levle0_189_jpg.rf.203a2faa04975a7616b94de8fe5be82a.jpg,"{'caption': ""A close-up image of a person's face, captured in profile and facing towards the camera. The individual's eyes are gently closed, and their skin appears to have some minor blemishes or redness. A portion of their dark brown hair is visible. The background is blurred and indistinct, drawing focus to the person's face. There are no discernible texts or actions in the image. The person appears to be middle-aged or older.""}",1,0,0,0
images/levle1_169_jpg.rf.a15a2bcb30c641ec5549b72cec8a9e27.jpg,"{'caption': ""A close-up profile view of a person's face, captured in profile and facing towards the right side of the image. The individual's eyes are gently closed, and their skin appears to have some minor blemishes or redness. The photo is taken against a blurred, dark background, which helps to highlight the person in their features. A portion of what appears to be a white or light-colored object is visible near the person's mouth. The person's hair is dark brown or black and appears to be somewhat tousled.""}",0,0,1,0
images/levle1_111_jpg.rf.c91a8b777ce741cd255c97b38e3e870b.jpg,"{'caption': ""A young man with dark hair and dark eyes is captured in a close-up shot. His face is angled slightly to the left, giving the impression of a small vessel. His mouth is slightly open. The background is blurred, drawing attention to the man. The image has a shallow depth of field, with the man's face in sharp focus while the background is slightly out of focus. This creates a sense of depth and perspective. A reflection of the man is visible on the surface he is standing on.""}",0,0,0,0
images/levle1_489_jpg.rf.8cccf348db01463153836177d6cc1197.jpg,"{'caption': ""A close-up image of a person's face, captured in profile and facing towards the camera. The person has dark hair and some brown/reddish tones in their skin, which is also marked with visible red spots. The person's eyes are closed, and their skin appears slightly flushed or red. The background is blurred and indistinguishable.""}",3,0,1,0
images/levle1_534_jpg.rf.40bca2d8746d11b01579bc6d832d4eb1.jpg,"{'caption': 'A young man with dark hair and dark eyes is shown in profile. His face is adorned with visible red spots on his cheeks and forehead, suggesting a possible skin condition or reaction to a product. He is wearing a white collared shirt and has a neutral, perhaps slightly serious, expression. A portion of what appears to be a metal instrument is visible near his mouth. The background is blurred and indistinct, drawing attention to the man in the foreground.'}",0,0,2,0
images/levle3_122_jpg.rf.9e0fb7042362416143c1cac31cef2a0d.jpg,"{'caption': ""A close-up image captures a person's face, primarily focusing on the skin around the mouth and chin area. The skin is covered with numerous red bumps, and some of these bumps also have small white or light-colored spots within them. The bumps vary in size and shape, and while some may have an elevated texture, others are more flat. The skin around the mouth and chin area appears slightly lighter in tone compared to the rest of the face. The image is taken from a slightly angled perspective, giving a perspective that is slightly above and between the two angles.""}",1,0,2,0
images/levle1_481_png_jpg.rf.e9faf71876cf59436046a88caae092a5.jpg,"{'caption': ""A close-up profile view of a person's face, capturing a moment of contemplation. The individual's face is the main focus, drawing the viewer's attention. Their eyes are open and looking to the left, giving the impression of focus and contemplation. Their skin tone is medium-brown with visible blemishes and redness, particularly on the cheeks and forehead.  A hint of makeup is visible on their lips. The background is blurred and out of focus, ensuring the viewer's attention remains on the person. A portion of another individual, dressed in a light-colored shirt, is visible in the background, but no other details are discernible.""}",1,0,5,0
images/levle1_70_png_jpg.rf.21268562bdb6a4069712ca55fab1d88f.jpg,"{'caption': ""A close-up image of a person's face, focusing on the face and neck area. The skin is visibly flushed and irritated, with numerous small, red bumps scattered across it. Some of these bumps have a slightly shiny or translucent appearance. The person's eyes are partially closed, and their lips are slightly parted. The background is blurred and indistinguishable, drawing the viewer's attention to the person's face.""}",3,1,0,0
images/levle2_169_png_jpg.rf.313e8b93e15df853bd79460ca0d92174.jpg,"{'caption': ""A close-up profile view of a person's face, showcasing a fair complexion with some redness and visible blemishes. The individual is wearing a black headband, and their dark hair is partially visible under the headband. Their eyes are looking off to the side, and their mouth is slightly open. The person's face is adorned with numerous small red spots, which could be interpreted as acne. The background is blurred and indistinct.""}",4,2,3,3
images/levle0_496_jpg.rf.b47c1658972cb05f7067cd06ec7f48a5.jpg,"{'caption': ""A close-up profile view of a person's face, capturing a thoughtful or serious expression. The individual's skin has a slightly reddish tone, and their eyes are looking towards the right side of the frame. The person's dark hair frames their face, and they appear to be wearing a light blue or bluish-purple garment. The background is a blurred, dark color, which draws the viewer's attention to the person's face. There is some visible texture on their skin, and they are wearing small gold-colored earrings in their visible ear.""}",1,0,0,1
images/levle1_477_jpg.rf.b9260ecadf330f496b423b0e88bffee4.jpg,"{'caption': 'A young woman with dark hair is shown in profile, her face turned towards the right of the frame. She has fair skin with some visible blemishes and freckles. Her lips are a light pink or pinkish-beige color. A silver necklace is draped around her neck. The background is blurred and indistinct.'}",0,0,1,0
images/levle1_423_png_jpg.rf.52dfbe702b9ee630dc9e13d7c9cc24b6.jpg,"{'caption': ""A close-up portrait of a person, with a neutral expression, looks off to the side. Their face is the focal point of the image, captured in profile. Their eyes are visible, and they appear to have light-colored eyes. The person's skin tone is fair. They have some red spots on their face, which could be acne or blemishes. A portion of their hair is visible at the top right of the image. The background is blurred, drawing attention to the person in the foreground.""}",0,0,4,0
images/levle0_64_png_jpg.rf.9216d2b3ef189a1e1fafc2857128b328.jpg,"{'caption': ""A young man with dark hair and light to medium brown skin is shown in profile, his face illuminated against a plain white background. His right eye is partially visible, and he has a slight smile on his face with rosy cheeks. A noticeable red mark, possibly a blemish or scar, is on his nose. The image captures a simple moment, presenting aduced and candid features of the man's face.""}",3,0,3,0
images/levle1_481_jpg.rf.a9a6ea7773ff2d47b32e8b8afac1c82b.jpg,"{'caption': ""A close-up image of a person's face, turned slightly to the right. The individual has dark hair and a fair complexion. Their eyes are open and appearing to be looking off to the side. The person's lips are a light pink or lipstick color, and they have a few small blemishes or redness on their cheeks. The background is blurred and indistinguishable. The person is also wearing a light-colored, possibly white, garment.""}",0,0,4,0
images/levle1_478_png_jpg.rf.5c0cf7c51862a0073ca1fdee91ac3592.jpg,"{'caption': 'A young woman with dark hair is shown in profile, her gaze directed towards the right side of the image. Her face is adorned with multiple small red spots, possibly acne. The spots are scattered across her forehead, cheeks, and nose, and vary in size. Her skin appears slightly moist or oily, and her lips are a light pink or peach color. The background is blurred, drawing focus to the woman and her facial features.'}",1,0,2,0
images/levle1_16_jpg.rf.40d5d1c9194480fe184f8bd89664d75f.jpg,"{'caption': ""A close-up portrait of a person with dark hair and dark eyes. Their face is adorned with a nose and lips, and they are gazing off to the side. The person's face is speckled with numerous small red spots, which could be freckles. A portion of their ear is visible near the left side of the image. They are wearing a light-colored, possibly white, garment. The background is blurred, drawing the viewer's attention to the person and their facial features. A portion of what seems to be a red garment is also visible in the right edge of the image.""}",0,0,0,0
